央視,#genre#
台視新聞「ofiii」,https://iptv.yang-1989.eu.org/ofiii/4gtv-4gtv051
公視戲劇「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-4gtv042/index.m3u8
台灣戲劇「ofiii」,https://iptv.yang-1989.eu.org/ofiii/litv-xinchuang22
寰宇新聞「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/litv-longturn14/index.m3u8
寰宇新聞台灣「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-4gtv156/index.m3u8
寰宇財經「ofiii」,https://iptv.yang-1989.eu.org/ofiii/4gtv-4gtv158
華視「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-4gtv041/index.m3u8
華視新聞「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-4gtv052/index.m3u8
民視「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-4gtv002/index.m3u8
民視台灣「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-4gtv001/index.m3u8
民視影劇「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/litv-ftv09/index.m3u8
民視新聞「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/litv-ftv13/index.m3u8
民視旅遊「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/litv-ftv07/index.m3u8
民視第一「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-4gtv003/index.m3u8
民視綜藝「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-4gtv004/index.m3u8
三立綜合「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-live207/index.m3u8
三立新聞iNEWS「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-live089/index.m3u8
好萊塢電影,https://cdn-2.ttvb.eu.org/api/Hollywood-Movie/index.m3u8
龍祥時代,https://cdn-2.ttvb.eu.org/api/LSTIME-Movie/index.m3u8
CINEMAX,https://cdn-2.ttvb.eu.org/api/Cinemax/index.m3u8
MTV Live,https://cdn-2.ttvb.eu.org/api/MTV-Live/index.m3u8
愛爾達娛樂「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-4gtv070/index.m3u8
愛爾達生活旅遊「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-live120/index.m3u8
鏡電視新聞「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-4gtv075/index.m3u8
倪珍播新聞「ofiii」,https://iptv.yang-1989.eu.org/ofiii/nnews-zh
半島國際新聞「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-live157/index.m3u8
DW德國之聲「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-live071/index.m3u8
FRANCE24「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-live146/index.m3u8
NHK 新聞資訊「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-live168/index.m3u8
CNBC Asia 財經「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-live130/index.m3u8
SBN 全球財經「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-live060/index.m3u8
Bloomberg TV「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-live059/index.m3u8
DayStar「ofiii」,https://iptv.yang-1989.eu.org/ofiii/daystar
亞洲旅遊「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-4gtv076/index.m3u8
時尚運動X「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-4gtv014/index.m3u8
智林體育「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-4gtv101/index.m3u8
FashionTV 時尚頻道「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-live085/index.m3u8
第1商業「ofiii」,https://iptv.yang-1989.eu.org/ofiii/4gtv-4gtv104
amc電影台「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-4gtv017/index.m3u8
MCE 我的歐洲電影「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/litv-ftv10/index.m3u8
影迷數位電影「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-4gtv011/index.m3u8
影迷數位紀實「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/litv-ftv15/index.m3u8
CinemaWorld「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-live069/index.m3u8
經典電影「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-live021/index.m3u8
Love Nature「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-live208/index.m3u8
視納華仁紀實頻道「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-4gtv013/index.m3u8
CI 罪案偵查頻道「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-live027/index.m3u8
History 歷史頻道「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-live026/index.m3u8
MagellanTV (麥哲倫頻道)「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-live123/index.m3u8/index.m3u8
ROCK Action「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-live138/index.m3u8
ROCK Entertainment「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-live080/index.m3u8
ROCK Xstream「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-live124/index.m3u8
Arirang TV「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-4gtv079/index.m3u8
韓國娛樂台 KMTV「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-4gtv016/index.m3u8
Lifetime 娛樂頻道「4gTV」,https://cdn-2.ttvb.eu.org/4gtv/4gtv-live029/index.m3u8
