Gather直播,#genre#

東森幼幼「Relay」,https://cdn.19891230.eu.org/api/YoYo-TV/index.m3u8
緯來日本「Relay」,https://cdn.19891230.eu.org/api/VL-Japan/index.m3u8
緯來綜合「Relay」,https://cdn.19891230.eu.org/api/VL-ONTV/index.m3u8
緯來體育「Relay」,https://cdn.19891230.eu.org/api/VL-Sports/index.m3u8
TVBS 新聞「4gTV」,https://cdn.19891230.eu.org/4gtv/media-live072/index.m3u8
東森新聞「4gTV」,https://cdn.19891230.eu.org/4gtv/4gtv-4gtv152/index.m3u8
華視「4gTV」,https://cdn.19891230.eu.org/4gtv/4gtv-4gtv041/index.m3u8
中視「4gTV」,https://cdn.19891230.eu.org/4gtv/4gtv-4gtv040/index.m3u8
台視「Relay」,https://cdn.19891230.eu.org/api/TTV/index.m3u8

CCTV 1 綜合「Relay」,https://cdn.19891230.eu.org/api/CCTV1/index.m3u8
CCTV 2 財經「Relay」,https://cdn.19891230.eu.org/api/CCTV2/index.m3u8
CCTV 3 綜藝「Relay」,https://cdn.19891230.eu.org/api/CCTV3/index.m3u8
CCTV 4 中文國際「Relay」,https://cdn.19891230.eu.org/api/CCTV4/index.m3u8
CCTV 5 體育「Relay」,https://cdn.19891230.eu.org/api/CCTV5/index.m3u8
CCTV 5+ 體育賽事「Relay」,https://cdn.19891230.eu.org/api/CCTV5+/index.m3u8
CCTV 6 電影「Relay」,https://cdn.19891230.eu.org/api/CCTV6/index.m3u8
CCTV 7 國防軍事「Relay」,https://cdn.19891230.eu.org/api/CCTV7/index.m3u8
CCTV 8 電視劇「Relay」,https://cdn.19891230.eu.org/api/CCTV8/index.m3u8
CCTV 9 記錄「Relay」,https://cdn.19891230.eu.org/api/CCTV9/index.m3u8
CCTV 10 科教「Relay」,https://cdn.19891230.eu.org/api/CCTV10/index.m3u8
CCTV 11 戲曲「Relay」,https://cdn.19891230.eu.org/api/CCTV11/index.m3u8
CCTV 12 社會與法「Relay」,https://cdn.19891230.eu.org/api/CCTV12/index.m3u8
CCTV 13 新聞「Relay」,https://cdn.19891230.eu.org/api/CCTV13/index.m3u8
CCTV 14 少兒「Relay」,https://cdn.19891230.eu.org/api/CCTV14/index.m3u8
CCTV 15 音樂「Relay」,https://cdn.19891230.eu.org/api/CCTV15/index.m3u8
江蘇衛視「Relay」,https://cdn.19891230.eu.org/api/jsws/index.m3u8
