
php央視,#genre#

CCTV1,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv1
CCTV2,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv2
CCTV3,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv3
CCTV4,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv4
CCTV5,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv5
CCTV5+,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv5p
CCTV6,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv6
CCTV7,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv7
CCTV8,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv8
CCTV9,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv9
CCTV10,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv10
CCTV11,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv11
CCTV12,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv12
CCTV13,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv13
CCTV14,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv14
CCTV15,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv15
CCTV16,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv16
CCTV17,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv17
