Gather大陸,#genre#
民視第一,https://cdn.19891230.eu.org/4gtv/4gtv-4gtv003/index.m3u8
民視綜藝,https://cdn.19891230.eu.org/4gtv/4gtv-4gtv004/index.m3u8
年代新聞,https://cdn.19891230.eu.org/api/Era-News/index.m3u8
中天亞洲,https://cdn.19891230.eu.org/api/Cti-I/index.m3u8
中天綜合,https://cdn.19891230.eu.org/api/Cti-K/index.m3u8
中天娛樂,https://cdn.19891230.eu.org/api/Cti-E/index.m3u8
三立綜合,https://cdn.19891230.eu.org/4gtv/4gtv-live207/index.m3u8
三立新聞iNEWS,https://cdn.19891230.eu.org/4gtv/4gtv-live089/index.m3u8
龍祥時代,https://cdn.19891230.eu.org/api/LSTIME-Movie/index.m3u8
CINEMAX,https://cdn.19891230.eu.org/api/Cinemax/index.m3u8
愛爾達寵物運動,https://cdn.19891230.eu.org/4gtv/4gtv-4gtv070/index.m3u8
愛爾達生活旅遊,https://cdn.19891230.eu.org/4gtv/4gtv-live120/index.m3u8
鏡電視新聞,https://cdn.19891230.eu.org/4gtv/4gtv-4gtv075/index.m3u8
亞洲旅遊,https://cdn.19891230.eu.org/4gtv/4gtv-4gtv076/index.m3u8
amc電影台,https://cdn.19891230.eu.org/4gtv/4gtv-4gtv017/index.m3u8
我的歐洲電影,https://cdn.19891230.eu.org/4gtv/litv-ftv10/index.m3u8
影迷數位電影,https://cdn.19891230.eu.org/4gtv/4gtv-4gtv011/index.m3u8
影迷數位紀實,https://cdn.19891230.eu.org/4gtv/litv-ftv15/index.m3u8
CinemaWorld,https://cdn.19891230.eu.org/4gtv/4gtv-live069/index.m3u8
Love Nature,https://cdn.19891230.eu.org/4gtv/4gtv-live208/index.m3u8
History 歷史頻道,https://cdn.19891230.eu.org/4gtv/4gtv-live026/index.m3u8
韓國娛樂台 KMTV,https://cdn.19891230.eu.org/4gtv/4gtv-4gtv016/index.m3u8
采昌影劇,https://cdn.19891230.eu.org/4gtv/4gtv-4gtv049/index.m3u8
