2026世界杯,#genre#

東森幼幼台,http://211.23.95.147:18881/live/25_h265.ts
緯來日本台,http://211.23.95.147:18881/live/77_h265.ts
緯來綜合台,http://211.23.95.147:18881/live/26_h265.ts
CCTV5体育,http://82.156.243.185:36888/av3a/cctv5n.m3u8
CCTV5+体育赛事,http://82.156.243.185:36888/av3a/cctv5pn.m3u8
CCTV16奥林匹克,http://82.156.243.185:36888/av3a/cctv16n.m3u8
CCTV4k超高清,http://82.156.243.185:36888/av3a/cctv4kn.m3u8
CCTV8k超高清,http://82.156.243.185:36888/av3a/cctv8kn.m3u8

蠟筆小新,#genre#

蠟筆小新,https://live.ottiptv.cc/huya/11352970
櫻桃小丸子,https://live.ottiptv.cc/huya/11342394

X蠟筆小新TV版,https://www.youtube.com/live/ENnjj7jQ23g
X我們這一家,https://www.youtube.com/watch?v=e1gbvCkwxFE
X新哆啦A夢,https://www.youtube.com/watch?v=gnDok9gtopw

柯南國語,https://live.ottiptv.cc/huya/30080148
柯南劇場版,https://live.ottiptv.cc/huya/30080236

X飢餓遊戲》點閱人氣榜,https://www.youtube.com/watch?v=UJgN7q6jpns
X飢餓遊戲》一次播到飽,https://www.youtube.com/watch?v=6TsaEYaKueE

X一笑江湖,https://www.youtube.com/watch?v=g8Aagss4bnk
X張韶涵《星辰大海》,https://www.youtube.com/watch?v=iyHJOmFCSAg
X張韶涵起風了,https://youtu.be/5elzpO7A7YY?si=pJ7D1u9Rj9pDRB9E
X張韶涵C大調,https://www.youtube.com/watch?v=NFuKYLfCOxw
X張韶涵看得最遠的地方,https://www.youtube.com/watch?v=RdRsVog0y2w
X張韶涵喜歡你沒道理,https://www.youtube.com/watch?v=rhuNm2X7nbA
X張韶涵寓言,https://www.youtube.com/watch?v=-4eJy_cpvoo
X張韶涵歐若拉,https://www.youtube.com/watch?v=dmwJaG-R1iM
X張韶涵潘朵拉,https://www.youtube.com/watch?v=vAtz0NWJbWo
X張韶涵隱形的翅膀,https://www.youtube.com/watch?v=be2wvNFTLMc

MOD電視,#genre#

CBeebies,udp://@224.1.4.213:11111
CBeebies,udp://@224.1.4.75:11111
CatchPlay電影台,udp://@230.1.2.217:11111
CatchPlay電影台,udp://@230.1.2.37:11111

華視,udp://@230.1.2.229:11111
中視,udp://@224.1.4.10:11111
台視,udp://@230.1.2.227:11111
民視,udp://@224.1.4.6:11111

TVBS新聞台,udp://@224.1.4.152:11111
TVBS HD,udp://@224.1.4.153:11111
TVBS HD,udp://@224.1.4.24:11111
TVBS歡樂台,udp://@224.1.4.154:11111
TVBS歡樂台,udp://@224.1.4.2:11111
TVBS精采台,udp://@230.1.2.225:11111
TVBS精采台,udp://@230.1.2.35:11111

靖天日本台,udp://@230.1.2.221:11111
靖天電影台,udp://@230.1.2.243:11111
靖天戲劇台,udp://@230.1.2.163:11111
靖天育樂台,udp://@230.1.2.194:11111
靖天國際台,udp://@224.1.4.220:11111
靖天映畫台,udp://@230.1.2.236:11111
靖天資訊台,udp://@230.1.2.184:11111
靖天綜合台,udp://@224.1.4.199:11111
靖洋戲劇台,udp://@230.1.2.240:11111
靖天卡通台,udp://@230.1.2.162:11111
靖洋卡通台,udp://@230.1.2.161:11111

龍華電影,udp://@224.1.4.251:11111
